Zip Code,Cases,Deaths
20906,13708,193
20904,11248,164
20902,10826,128
20850,7811,116
20852,6679,105
20910,6405,91
20877,7869,87
20854,6135,84
20874,11432,74
20817,4521,63
20886,6913,63
20901,6192,61
20853,5339,60
20814,3752,59
20878,9260,59
20815,3323,54
20912,3820,50
20903,4608,47
20832,3417,43
20879,5304,42
20895,2806,41
20866,3013,33
20905,3103,31
20876,4575,28
20882,1941,25
20855,2534,23
20871,4360,22
20872,2138,21
20833,1040,14
20860,446,14
20816,1750,13
20851,2529,10
20841,1382,8
20861,409,7
20837,895,6
20839,33,3
20842,206,3
21771,3729,3
20783,8505,2
20862,48,2
20868,143,2
20705,5787,1
20707,6958,1
20818,178,1
